Kinetic_read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	0.164	0.186	0.164	0.194	0.166	0.206	0.173	0.208	0.168	0.204	0.166	0.195	0.168	0.222	0.18	0.196	0.166	0.201	0.173	0.203	0.173	0.192	0.166	0.196	0.169	0.202	0.167	0.194	0.166	0.198	0.169	0.197	0.167	0.2	0.166	0.196	0.167	0.204	0.173	0.202	0.175	0.191	0.168	0.202	0.179	0.205	0.165	0.198	0.167	0.198	0.166	0.203	0.168	0.196	0.167	0.194	0.179	0.203	0.167	0.202	0.167	0.197	0.173	0.203	0.168	0.205	0.165	0.198	0.179	0.214	0.165	0.205	0.171	0.199	0.168	0.197	0.167	0.21	0.173	0.199	0.171	0.204	0.17	0.2	0.167	0.199	0.164	0.204	0.163	0.205	0.171	0.198	0.172	0.28	0.169	0.201
0:30:00	0.164	0.189	0.163	0.197	0.165	0.208	0.174	0.21	0.168	0.213	0.166	0.214	0.168	0.222	0.17	0.196	0.164	0.201	0.174	0.206	0.172	0.19	0.165	0.194	0.168	0.207	0.167	0.196	0.163	0.199	0.172	0.198	0.163	0.199	0.166	0.195	0.167	0.207	0.172	0.205	0.168	0.191	0.17	0.205	0.174	0.203	0.165	0.2	0.167	0.202	0.166	0.206	0.166	0.195	0.169	0.198	0.176	0.198	0.166	0.204	0.167	0.2	0.17	0.202	0.165	0.204	0.167	0.202	0.175	0.215	0.165	0.209	0.171	0.202	0.167	0.199	0.164	0.209	0.174	0.202	0.175	0.204	0.17	0.203	0.167	0.203	0.163	0.205	0.162	0.204	0.172	0.202	0.171	0.24	0.169	0.203
1:00:00	0.164	0.196	0.163	0.201	0.165	0.208	0.175	0.213	0.168	0.212	0.166	0.225	0.168	0.231	0.169	0.205	0.164	0.202	0.175	0.21	0.169	0.19	0.165	0.197	0.169	0.211	0.166	0.199	0.163	0.201	0.173	0.201	0.163	0.197	0.166	0.199	0.167	0.213	0.171	0.21	0.167	0.192	0.172	0.21	0.174	0.204	0.165	0.203	0.167	0.208	0.165	0.209	0.165	0.196	0.171	0.202	0.176	0.199	0.166	0.207	0.167	0.205	0.169	0.206	0.165	0.205	0.169	0.206	0.174	0.214	0.165	0.212	0.171	0.207	0.167	0.203	0.163	0.21	0.176	0.206	0.173	0.204	0.17	0.206	0.167	0.208	0.157	0.21	0.161	0.206	0.172	0.205	0.171	0.212	0.169	0.207
1:30:00	0.164	0.208	0.163	0.208	0.165	0.21	0.176	0.216	0.168	0.202	0.167	0.218	0.168	0.238	0.169	0.213	0.164	0.203	0.177	0.215	0.169	0.19	0.165	0.2	0.169	0.219	0.166	0.206	0.163	0.202	0.175	0.206	0.166	0.197	0.165	0.203	0.167	0.22	0.171	0.217	0.167	0.192	0.173	0.218	0.173	0.203	0.165	0.207	0.167	0.215	0.165	0.218	0.165	0.197	0.172	0.207	0.175	0.2	0.166	0.213	0.167	0.213	0.168	0.214	0.165	0.205	0.17	0.21	0.177	0.213	0.165	0.217	0.171	0.216	0.166	0.211	0.164	0.211	0.177	0.209	0.174	0.202	0.17	0.212	0.168	0.215	0.156	0.217	0.161	0.207	0.174	0.21	0.172	0.21	0.168	0.214
2:00:00	0.164	0.217	0.163	0.219	0.165	0.213	0.177	0.239	0.169	0.201	0.167	0.21	0.169	0.255	0.169	0.221	0.164	0.203	0.178	0.225	0.171	0.192	0.165	0.206	0.169	0.231	0.166	0.22	0.164	0.203	0.176	0.213	0.167	0.197	0.166	0.209	0.168	0.236	0.171	0.229	0.167	0.193	0.175	0.234	0.174	0.202	0.165	0.213	0.167	0.228	0.165	0.228	0.165	0.197	0.173	0.214	0.176	0.209	0.167	0.221	0.167	0.226	0.168	0.225	0.165	0.207	0.171	0.223	0.176	0.214	0.165	0.226	0.171	0.229	0.166	0.222	0.165	0.211	0.179	0.217	0.175	0.202	0.17	0.221	0.167	0.227	0.156	0.228	0.161	0.207	0.175	0.218	0.175	0.203	0.168	0.224
2:30:00	0.169	0.237	0.163	0.241	0.165	0.214	0.178	0.254	0.169	0.2	0.166	0.219	0.168	0.275	0.169	0.233	0.164	0.204	0.179	0.237	0.172	0.192	0.165	0.213	0.169	0.25	0.166	0.241	0.163	0.203	0.177	0.234	0.167	0.196	0.165	0.217	0.168	0.252	0.171	0.247	0.167	0.193	0.176	0.254	0.174	0.202	0.165	0.223	0.168	0.249	0.165	0.247	0.165	0.197	0.174	0.223	0.175	0.207	0.166	0.233	0.167	0.247	0.168	0.245	0.165	0.207	0.172	0.243	0.175	0.21	0.165	0.237	0.171	0.249	0.166	0.239	0.164	0.213	0.18	0.228	0.175	0.2	0.17	0.233	0.168	0.244	0.155	0.253	0.161	0.208	0.175	0.229	0.178	0.203	0.168	0.239
3:00:00	0.167	0.264	0.163	0.27	0.165	0.214	0.179	0.274	0.17	0.199	0.165	0.229	0.168	0.309	0.169	0.247	0.164	0.204	0.18	0.269	0.171	0.193	0.165	0.223	0.169	0.277	0.166	0.271	0.163	0.203	0.178	0.256	0.168	0.194	0.165	0.227	0.168	0.282	0.171	0.276	0.167	0.193	0.177	0.271	0.174	0.202	0.165	0.236	0.168	0.28	0.165	0.291	0.166	0.198	0.175	0.239	0.175	0.209	0.166	0.25	0.167	0.275	0.167	0.277	0.165	0.208	0.173	0.276	0.176	0.208	0.165	0.254	0.171	0.277	0.166	0.257	0.164	0.213	0.181	0.253	0.176	0.202	0.17	0.249	0.167	0.267	0.162	0.274	0.161	0.208	0.176	0.25	0.177	0.204	0.17	0.261
3:30:00	0.168	0.307	0.163	0.324	0.165	0.213	0.182	0.299	0.17	0.199	0.165	0.245	0.169	0.35	0.169	0.263	0.164	0.204	0.181	0.298	0.171	0.194	0.165	0.236	0.169	0.319	0.167	0.319	0.163	0.204	0.179	0.292	0.168	0.198	0.165	0.243	0.17	0.321	0.171	0.316	0.167	0.193	0.18	0.304	0.174	0.202	0.165	0.255	0.168	0.324	0.164	0.341	0.166	0.198	0.176	0.264	0.175	0.204	0.166	0.274	0.167	0.318	0.168	0.313	0.165	0.209	0.175	0.324	0.177	0.209	0.165	0.279	0.171	0.323	0.166	0.28	0.165	0.214	0.186	0.303	0.175	0.205	0.17	0.272	0.167	0.314	0.156	0.364	0.161	0.208	0.177	0.299	0.177	0.204	0.169	0.297
4:00:00	0.171	0.362	0.163	0.38	0.165	0.214	0.186	0.361	0.171	0.205	0.166	0.257	0.168	0.394	0.169	0.283	0.164	0.204	0.183	0.367	0.169	0.195	0.164	0.252	0.169	0.374	0.167	0.39	0.164	0.203	0.18	0.351	0.169	0.198	0.165	0.261	0.174	0.378	0.171	0.361	0.168	0.193	0.183	0.344	0.175	0.202	0.165	0.278	0.169	0.382	0.165	0.394	0.166	0.198	0.177	0.3	0.175	0.208	0.166	0.312	0.167	0.377	0.168	0.366	0.166	0.211	0.182	0.375	0.177	0.207	0.165	0.308	0.171	0.384	0.166	0.31	0.165	0.214	0.191	0.331	0.175	0.201	0.169	0.305	0.167	0.383	0.16	0.419	0.161	0.208	0.177	0.341	0.177	0.205	0.169	0.337
4:30:00	0.17	0.426	0.163	0.41	0.165	0.213	0.193	0.404	0.171	0.208	0.164	0.281	0.168	0.464	0.168	0.326	0.164	0.203	0.187	0.398	0.167	0.195	0.164	0.265	0.169	0.431	0.167	0.411	0.164	0.204	0.183	0.389	0.17	0.2	0.165	0.281	0.177	0.441	0.171	0.418	0.168	0.194	0.189	0.39	0.175	0.201	0.165	0.309	0.169	0.446	0.165	0.416	0.166	0.198	0.178	0.343	0.175	0.207	0.166	0.353	0.167	0.452	0.167	0.427	0.166	0.211	0.188	0.403	0.177	0.216	0.164	0.354	0.171	0.455	0.166	0.346	0.165	0.215	0.195	0.38	0.173	0.206	0.17	0.346	0.166	0.419	0.156	0.403	0.161	0.208	0.178	0.365	0.177	0.205	0.169	0.377
