Kinetic read	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	
0:00:00	0.084	0.085	0.084	0.082	0.085	0.084	0.084	0.086	0.085	0.085	0.086	0.085	0.085	0.085	0.085	0.083	0.082	0.084	0.096	0.097	0.096	0.096	0.084	0.086	0.084	0.084	0.191	0.191	0.192	0.193	0.087	0.087	0.085	0.083	0.12	0.114	0.108	0.106	0.085	0.085	0.085	0.085	0.187	0.222	0.237	0.208	0.086	0.086	0.086	0.085	0.146	0.148	0.11	0.103	0.087	0.086	0.086	0.084	0.196	0.203	0.227	0.202	0.084	0.085	0.085	0.085	0.198	0.183	0.217	0.25	0.087	0.086	0.083	0.083	0.312	0.317	0.349	0.288	0.085	0.085	0
0:30:00	0.084	0.085	0.085	0.082	0.085	0.084	0.084	0.086	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.083	0.082	0.084	0.096	0.097	0.096	0.096	0.084	0.086	0.084	0.084	0.217	0.217	0.218	0.22	0.087	0.087	0.085	0.083	0.119	0.109	0.101	0.104	0.085	0.085	0.085	0.085	0.211	0.253	0.247	0.251	0.086	0.086	0.085	0.085	0.141	0.132	0.11	0.105	0.086	0.086	0.085	0.083	0.216	0.243	0.239	0.217	0.084	0.085	0.085	0.085	0.219	0.154	0.151	0.146	0.087	0.086	0.083	0.083	0.329	0.301	0.32	0.26	0.085	0.084	0
1:00:00	0.084	0.086	0.085	0.082	0.086	0.084	0.084	0.086	0.085	0.085	0.086	0.086	0.085	0.085	0.085	0.083	0.082	0.084	0.096	0.096	0.096	0.096	0.084	0.086	0.084	0.084	0.252	0.252	0.253	0.256	0.087	0.087	0.085	0.083	0.118	0.107	0.1	0.103	0.086	0.085	0.085	0.085	0.295	0.288	0.273	0.294	0.088	0.086	0.086	0.085	0.152	0.143	0.11	0.108	0.094	0.086	0.086	0.084	0.244	0.256	0.266	0.242	0.086	0.085	0.085	0.085	0.191	0.126	0.128	0.131	0.089	0.086	0.083	0.084	0.315	0.257	0.291	0.274	0.086	0.085	0
1:30:00	0.085	0.086	0.085	0.083	0.086	0.084	0.084	0.086	0.085	0.086	0.086	0.086	0.086	0.085	0.085	0.083	0.082	0.084	0.096	0.097	0.096	0.096	0.084	0.086	0.084	0.084	0.299	0.298	0.292	0.297	0.087	0.087	0.085	0.083	0.118	0.106	0.099	0.103	0.085	0.086	0.085	0.085	0.532	0.335	0.326	0.373	0.092	0.087	0.086	0.086	0.151	0.143	0.108	0.11	0.117	0.087	0.086	0.084	0.281	0.288	0.298	0.281	0.102	0.085	0.086	0.086	0.187	0.13	0.126	0.131	0.104	0.086	0.083	0.084	0.304	0.249	0.279	0.372	0.095	0.085	0
2:00:00	0.084	0.086	0.085	0.083	0.086	0.084	0.084	0.086	0.085	0.086	0.086	0.086	0.086	0.085	0.085	0.083	0.082	0.084	0.096	0.097	0.097	0.096	0.084	0.086	0.084	0.084	0.358	0.369	0.35	0.354	0.087	0.087	0.085	0.083	0.119	0.105	0.099	0.104	0.085	0.086	0.086	0.085	0.501	0.402	0.398	0.375	0.098	0.086	0.086	0.085	0.159	0.145	0.108	0.11	0.13	0.089	0.086	0.084	0.33	0.313	0.364	0.334	0.114	0.085	0.085	0.086	0.182	0.119	0.121	0.13	0.113	0.086	0.083	0.084	0.292	0.246	0.275	0.348	0.086	0.085	0
2:30:00	0.106	0.086	0.085	0.083	0.086	0.085	0.084	0.086	0.085	0.086	0.086	0.086	0.086	0.085	0.085	0.083	0.083	0.084	0.096	0.097	0.096	0.096	0.084	0.086	0.085	0.085	0.42	0.406	0.397	0.394	0.087	0.087	0.085	0.083	0.118	0.105	0.099	0.103	0.085	0.086	0.086	0.085	0.545	0.434	0.481	0.416	0.103	0.086	0.086	0.086	0.11	0.14	0.107	0.111	0.152	0.089	0.086	0.084	0.376	0.355	0.394	0.379	0.121	0.085	0.085	0.086	0.185	0.123	0.123	0.13	0.115	0.086	0.083	0.084	0.303	0.249	0.272	0.24	0.085	0.085	0
3:00:00	0.13	0.086	0.086	0.083	0.086	0.085	0.084	0.086	0.085	0.086	0.086	0.086	0.086	0.086	0.086	0.083	0.083	0.085	0.096	0.097	0.096	0.096	0.084	0.086	0.085	0.085	0.51	0.49	0.487	0.49	0.087	0.087	0.085	0.083	0.117	0.106	0.1	0.103	0.085	0.086	0.086	0.085	0.654	0.492	0.522	0.514	0.102	0.089	0.086	0.085	0.16	0.135	0.108	0.112	0.157	0.091	0.086	0.084	0.38	0.366	0.431	0.4	0.125	0.085	0.085	0.086	0.18	0.116	0.121	0.13	0.116	0.086	0.083	0.084	0.286	0.31	0.263	0.241	0.085	0.085	0
3:30:00	0.145	0.086	0.085	0.083	0.086	0.085	0.084	0.092	0.088	0.086	0.086	0.086	0.086	0.086	0.085	0.083	0.083	0.085	0.096	0.097	0.096	0.096	0.086	0.086	0.085	0.084	0.604	0.583	0.595	0.586	0.086	0.087	0.085	0.083	0.116	0.108	0.101	0.103	0.086	0.086	0.086	0.085	0.734	0.58	0.602	0.603	0.112	0.09	0.086	0.086	0.11	0.128	0.107	0.113	0.172	0.092	0.086	0.084	0.436	0.396	0.431	0.392	0.126	0.085	0.085	0.086	0.174	0.114	0.123	0.129	0.116	0.086	0.083	0.083	0.276	0.32	0.269	0.245	0.085	0.085	0
4:00:00	0.179	0.087	0.086	0.083	0.086	0.085	0.084	0.09	0.086	0.086	0.086	0.087	0.086	0.086	0.086	0.083	0.083	0.085	0.096	0.097	0.097	0.096	0.087	0.086	0.085	0.085	0.702	0.683	0.703	0.687	0.092	0.087	0.086	0.083	0.114	0.107	0.102	0.103	0.088	0.093	0.086	0.086	0.781	0.685	0.71	0.711	0.114	0.091	0.086	0.086	0.11	0.131	0.107	0.113	0.178	0.095	0.086	0.085	0.441	0.383	0.421	0.401	0.128	0.086	0.085	0.086	0.169	0.119	0.116	0.125	0.113	0.086	0.084	0.084	0.277	0.317	0.261	0.256	0.085	0.085	0
4:30:00	0.186	0.086	0.086	0.083	0.086	0.085	0.084	0.089	0.085	0.086	0.086	0.087	0.087	0.086	0.086	0.084	0.083	0.085	0.096	0.097	0.097	0.096	0.1	0.087	0.085	0.085	0.78	0.761	0.782	0.771	0.103	0.088	0.086	0.083	0.102	0.108	0.102	0.103	0.088	0.088	0.086	0.085	0.946	0.777	0.802	0.8	0.123	0.091	0.086	0.086	0.111	0.131	0.107	0.115	0.201	0.096	0.086	0.084	0.477	0.417	0.451	0.433	0.127	0.085	0.085	0.086	0.168	0.114	0.128	0.126	0.101	0.086	0.084	0.084	0.269	0.323	0.267	0.259	0.085	0.085	0
